Key	Korean	English	Traditional Chinese	Simplified Chinese	Japanese	Russian	French	Spanish	
    tutorial1_label4	새로고침	Refresh	刷新	刷新	更新	Обновить	rafraîchir 	Actualizar 	
    tutorial1_label5	설정	Settings	設定	设置	設定	Настройка	paramètres 	Ajustes 	
    tutorial1_tap_screen	화면을 터치해 주세요	Tap the screen	點擊屏幕	点击屏幕	画面をタップ	Коснитесь экрана	Appuyez sur l'écran 	Pulse en la pantalla 	
    tutorial1_skip_tutorial	튜토리얼 건너뛰기	Skip Tutorial	跳過教程	跳过教程	チュートリアルをスキップ	Пропустить учебник	Passer Tutoriel 	Saltar Tutorial 	
									
// Unlock 	// Unlock 	// Unlock 	// Unlock 	// Unlock 	// Unlock 	// Unlock 	// Unlock 	// Unlock 	
    unlock_notice	알림	NOTICE	公告	公告	お知らせ	ВНИМАНИЕ	AVIS 	AVISO 	
    unlock_unlocked	사용가능	Unlocked	解鎖	解锁	使用可能	Разблокирован	Débloqué 	desbloqueado 	
    unlock_description	기능을 추가하는 다양한 방법들이 있습니다.물론 무료로도 가능합니다!	There are many ways to unlock this feature. Find a way to enjoy it for free!	找到更多方法免費解鎖並享受新功能!	找到更多方法免费解锁并享受新功能!	機能を追加するさまざまな方法がありますが無料でできます。	Есть много способов для разблокировкий это функции. найди способ насладиться егю бесплатно!	Il existe de nombreuses façons de débloquer cette fonctionnalité. Trouver une façon pour la profiter gratuitement! 	Hay muchas formas de desbloquear esta característica. Encuentre una manera de disfrutar de forma gratuita! 	
    unlock_description_highlight	기능을 추가	unlock	免費解鎖	免费解锁	機能を追加	разблокировкий	débloquer 	desbloquear 	
    unlock_everything	$1.99면 모닝키트의 모든 기능을 사용하실 수 있습니다!	Unlock everything for only $1.99	全部解鎖只要$1.99	全部解锁只要$1.99	$1.99をお支払いいただくとモーニングキットのすべての機能を使用できます！	Разблокировать всё всего за 1.99$	Tout débloquer pour seulement 1.99 $ 	Desbloquear todo por sólo $ 1.99 	
    unlock_everything_highlight	모든 기능	everything	全部	全部	すべて	всё	tous 	todo 	
    unlock_only_this	$0.99면 이 기능을 사용하실 수 있습니다	Unlock for $0.99	解鎖只要$0.99	解锁只要$0.99	$0.99をお支払いいただくと,この機能を使用できます。	Разблокировать за 0.99$	Débloquez pour 0,99 $	Desbloquear $ 0.99 	
    unlock_review	리뷰를 남겨주시면 이 기능을 무료로 사용하실 수 있습니다	Write a Review and unlock it for free!	為此APP評價以獲得此項功能免費解鎖。我們將繼續提供好用新功能!請給我們5顆星!	为此APP评价以获得此项功能免费解锁。我们将继续提供好用新功能!请给我们5颗星!	あなたの評価は貴重なご意見です。レビューを残せば,この機能を使用できます。	Написать отзыв и разблокировать бесплатно!	Écrire un avis et déverrouiller gratuitement!	Comparte tu experiencia y desbloquear de forma gratuita! 	
    unlock_review_highlight	리뷰	Review	評價	评价	レビュー	отзыв	examen	revisión 	
    unlock_connector	유이 커넥터에 가입하시면 이 기능을 무료로 사용하실 수 있습니다	Enable Yooii Connector and unlock it for free!	註冊Yooii Connector並獲得此項功能免費解鎖	注册Yooii Connector并获得此项功能免费解锁	コネクタに登録していただくと, この機能を使用できます。	Активизировать Yooii Connector и разблакировка бесплатная!	Activer Yooii connecteur et déverrouiller gratuitement!	Habilitar Yooii Conector y desbloquear de forma gratuita! 	
    unlock_connector_highlight	유이 커넥터	Yooii Connector	Yooii Connector	Yooii Connector	コネクタ	Yooii Connector	Yooii connecteur	Yooii Conector 	
    unlock_use_morning	모닝키트를 10회 사용하시면 이 기능을 무료로 사용할 수 있습니다	Use Morning Kit 10 times and unlock it for free!	使用早安工具10次並獲得此項功能免費解鎖	使用早安工具10次并获得此项功能免费解锁	モーニングキットを10回使用すると,この機能を使用できます。	Используйте Утренний комплект 10 раз и разблакировка бесплатная!	Kit utilisation Matin 10 fois et déverrouiller gratuitement!	Uso de la mañana Kit 10 veces y desbloquear de forma gratuita! 	
    unlock_use_morning_highlight	10회	10 times	10	10	10回	10 раз	10 heures	10 veces 	
    unlock_facebook	Like 버튼을 눌러 주시면 이 기능을 무료로 사용하실 수 있습니다	Like us on Facebook and unlock it for free!	在Facebook點贊並獲得此項功能免費解鎖	在Facebook点赞并获得此项功能免费解锁	いいねボタンを押していただくと,この機能を使用できます。	Отметьте значком \“Мне нравится\” нашу страницу на Фейсбуке и разблокируйте программу б есплатно	Aimez-nous sur Facebook et déverrouiller gratuitement!	Al igual que nosotros en Facebook y desbloquear de forma gratuita! 	
    unlock_facebook_highlight	Like	Like	贊	赞	いいねボタン	\“Мне нравится\”	Aimer	Al igual que 	
    unlock_twitter	Follow 해 주시면 이 기능을 무료로 사용하실 수 있습니다	Follow us on Twitter and unlock it for free!	在Twitter追踪我們並獲得此項功能免費解鎖	在Twitter追踪我们并获得此项功能免费解锁	フォローボタンを押していただくと,この機能を使用できます。	Следите за нами в Твиттере и  разблакировка бесплатная!	Suivez-nous sur Twitter et déverrouiller gratuitement!	Síguenos en Twitter y desbloquear de forma gratuita! 	
    unlock_twitter_highlight	Follow	Follow	追踪	追踪	フォローボタン	Следите	suivre	siga 	
									
// Store 	// Store 	// Store 	// Store 	// Store 	// Store 	// Store 	// Store 	// Store 	
    store_no_purchase_records	구매 기록이 없습니다	No purchase records	無購買記錄	无购买纪录	購入履歴がありません。	Нет данных о покупках	Pas de dossiers d'achat	No hay registros de compra 	
    store_restore_purchases	구매한 기능 복원	Restore purchases	恢復購買	恢复购买	購入した機能の復元	Восстановить покупки	restaurer les achats	Restaurar compras 	
    store_purchased	구매 완료	Purchased	已購買	已购买	購入完了	Приобретенные	restaurer	Restaurar 	
    store_restore	복원	Restore	恢復	恢复	復元	Восстановить	acheté	comprado 	
    store_restore_success_message	구매 복원 성공	All purchases are restored	恢復購買成功	恢复购买成功	購入復元に成功しました。	Все покупки были восстановлены	Tous les achats sont restaurés	Todas las compras se restauran 	
    store_buy_full_version	풀버전을 구매해 주세요!	Buy the full version!	購買完整版!	购买完整版!	完全版購入	Купить полную версию!	Acheter la version complète!	Comprar la versión completa! 	
    store_buy_full_version_description	알람 추가, 모든 기능과 패널, 테마를 사용하실 수 있습니다	Upgrade to unlock all Functions, Panels, and Themes	可以使用無限制鬧鈴數量、完整面板、全部功能和主題背景	可以使用无限制闹铃数量、完整面板、全部功能和主题背景	すべてのパネル、機能やテーマのロックを解除！	Обновить чтобы разблокировать все Функции, Панели и Темы	Mise à niveau pour débloquer toutes les fonctions, les panneaux et Thèmes	Actualiza a desbloquear todas las funciones, los paneles y Temas 	
    store_tab_functions	기능	Functions	功能	功能	機能	Функции	fonctions	Funciones 	
    store_tab_widgets	패널	Panels	面板	面板	パネル	Панели	panneaux	Paneles 	
    store_tab_themes	테마	Themes	主題背景	主题背景	テーマ	Темы	thèmes	Temas 	
    store_item_more_alarm_slots	알람 개수 추가	More alarm slots	增加鬧鈴數量	增加闹铃数量	アラーム設定数の増加	Дополнительные будиляники	Plusieurs fentes d'alarme	Más entradas de alarma 	
    store_item_no_ads	광고 제거	No Ads	不顯示廣告	不显示广告	広告削除	Никакой\nрекламы	Aucune annonce	Sin publicidad 	
    store_item_matrix	2 X 3 배열	2 X 3 Matrix	2X3工具欄	2X3工具栏	2 X 3 配列	2 X 3 матрица	Matrice 2 X 3	2 X 3 Matrix 	
    store_item_widget_date_countdown	날짜 계산	Date(enter)Countdown	日期\n倒數	日期倒数	日付\n計算	дата\nобратного отсчета	Date (entrer) Compte à rebours 	Fecha (entrar) Cuenta atrás 	
    store_item_widget_memo	메모	Memo	備忘錄	备忘录	メモ	Заметка	note 	Memo 	
    store_item_photo_portrait	사진(enter)세로모드	Photo(enter)Portrait	照片\n縱向	照片\n纵向	写真\n縦画面	Фото\nПортрет	Photo (entrée) Portrait 	Foto (entrar) Retrato 	
    store_item_photo_landscape	사진(enter)가로모드	Photo(enter)Landscape	照片\n橫向	照片\n横向	写真\n横画面	Фото\nПейзаж	Photo (entrée) Paysage 	Foto (entrar) Paisaje 	
    store_item_skyblue	하늘(enter)(하늘색)	Celestial(enter)(Sky blue)	天上 (天空藍)	天上\n（天空蓝）	空\n(空色)	Небесный\n(Голубой)	Céleste (entrée) (bleu ciel) 	Celestial (enter) (Celeste) 	
    store_item_classic_white	모던(enter)(흰색)	Modernity(enter)(Chic white)	摩登\n(時尚白)	摩登\n（典雅白）	モダニティ\n（白）	Модерний\n(Шикарний белые)	Modernité (entrée) (Chic blanc) 	Modernidad (enter) (Chic blanco) 	
    store_item_water_lily	워터 릴리(디자인)	Water lily (Design)	睡蓮 （設計模式）	睡莲\n（设计模式）	睡蓮（デザイン）	Водяная лилия	Nénuphar (Design) 	Lirio de agua (Diseño) 	
    store_item_popsicle	Popsicle	Popsicle	冰淇淋 （設計模式）	冰淇淋\n（设计模式）	Popsicle	Popsicle	Popsicle 	Paleta helada	
									
// Rate it 	// Rate it 	// Rate it 	// Rate it 	// Rate it 	// Rate it 	// Rate it 	// Rate it 	// Rate it 	
    rate_it_contents	모닝키트 리뷰 부탁 드립니다.(enter)소중한 리뷰가 더 좋은 제품을 만드는데 도움이 됩니다! ^^	Please rate us 5 stars(enter)Without your support, we don\'t exist	給個好評吧！\n您的鼓勵會讓我們做出更好的產品！	给个好评吧！\n您的鼓励会让我们做出更好的产品！	%1$s レビューをお願いします。\nお客様のレビューは、より良い製品を作るのに役立ちます！^^	Оценить Утренний комплект сделать его лучше! Спасибо	S'il vous plaît nous évaluer étoiles sur 5 (entrer) Sans votre soutien, nous n'existons pas 	Por favor, tasa de 5 estrellas (entrar) Sin su apoyo, que no existen 	
    rate_it_rate	평가하기	Rate	評論	评论	評価する	Оценка	taux 	Cambio 	
    rate_it_no_thanks	나중에 하기	Later	稍後 	稍后 	後で	Оценить позже	plus tard 	Más tarde 	
    rate_morning_kit	모닝키트 평가하기	Rate Morning Kit	評分早安工具	评分早安工具	モーニングキットを評価する	Оценить Утренний комплект	Kit taux Matin 	Kit Cambio Mañana 	
									
// More Information 	// More Information 	// More Information 	// More Information 	// More Information 	// More Information 	// More Information 	// More Information 	// More Information 	
    more_information	모닝키트 정보	Morning Kit Info	早安工具資訊	早安工具信息	モーニングキットの情報	Утренний комплект Инфо	Matin Kit Infos 	Kit Mañana Info 	
    more_information_yooii_studios	유이스튜디오	Yooii Studios	Yooii Studios	Yooii Studios	ユーイスタジオ	Yooii Studios	Yooii Studios 	Yooii estudios 	
    more_information_morning_kit_help	모닝키트 도움말	Morning Kit Help	早安工具幫助	早安工具帮助	モーニングキットのヘルプ	Помощь с Утренним комплектом	Matin Kit Aide 	Kit Mañana Ayuda 	
    more_information_version_info	버전	Version	軟件版本	软件版本	バージョン	Версия	version 	Versión 	
    more_information_morning_kit_license	모닝키트 라이센스	Morning Kit License	早安工具許可證	早安工具许可证	モーニングキットのライセンス	Лицензия Утреннего комплекта	Matin Kit Licence 	Mañana Licencia Kit 	
    more_information_license	라이센스	License	許可證	许可证	ライセンス	Лицензия 	licence	Licencia 	
									
// Alarm First On Notice 	// Alarm First On Notice 	// Alarm First On Notice 	// Alarm First On Notice 	// Alarm First On Notice 	// Alarm First On Notice 	// Alarm First On Notice 	// Alarm First On Notice 	// Alarm First On Notice 	
    alarm_first_on_notice	[설정 -> 알림 -> 모닝키트](enter)(enter)모닝키트의 알림스타일을 \"알림\"으로, 사운드를 \"온\"으로 설정해주세요.(enter)(enter)진동모드에서는 알람이 울리지 않습니다. 진동모드를 해제하고 사용해 주세요.	[Settings -> Notifications -> Morning Kit](enter)(enter)Please set Alert Style to \"Alerts\", and turn on \"Sounds\".(enter)(enter)Alarm does not sound in vibration mode. Please turn off vibration.	[設置-> 通知-> 早安工具]\n\n請設置您的提醒樣式為“提醒”，並打開\"聲音\"。\n\n在震動模式下，鬧鐘鈴聲不工作 。使用鬧鐘時，請先解除振動模式。	[设置-> 通知-> 早安工具]\n\n请设置您的提醒样式为“提醒”，并打开\"声音\"。\n\n在震动模式下，闹钟铃声不工作 。使用闹钟时，请先解除振动模式。	[設定 -> 通知 -> モーニングキット]\n\nモーニングキットの通知スタイルをダイアログに、 サウンドをオンにしてご利用ください。\n\n振動モードではアラームが鳴りません。振動モードを解除してご利用ください。	[Настройки -> Центр уведомлений -> Утренний Комплект] Пожалуйста, установите стиль оповещения на \"Оповещения\" и включите \"Звуки\". Звуковой сигнал не звучит в режиме вибрации. Пожалуйста, отключите вибрацию.	. [Paramètres -> Notifications -> Kit Matin] (Entrée) (entrée) S'il vous plaît mettre Alerte style de \ "Alertes \", et tourner sur \ "Sons \" (entrée) (entrée) L'alarme ne sonne pas en mode vibration. S'il vous plaît désactiver les vibrations.	. [Configuración -> Notificaciones -> Kit mañana] (entrar) (entrar) Por favor, establece Alerta Estilo a \ "Alertas \", y encienda \ "Sonidos \" (enter) (entrar) La alarma no suena en el modo de vibración. Por favor, apague la vibración. 	
									
// Photo Theme 	// Photo Theme 	// Photo Theme 	// Photo Theme 	// Photo Theme 	// Photo Theme 	// Photo Theme 	// Photo Theme 	// Photo Theme 	
    photo_theme_move_and_scale	이동 및 확대	Move and Scale	移動和縮放	移动和缩放	移動と拡大	Перемещать и масштабировать	Déplacer et Échelle	Mover y Escala 	
    photo_theme_choose	선택	Choose	選擇	选择	選択	Выбрать	choisir	Elegir 	
    photo_theme_first_open_notice	사진을 이동하고 확대해서 사진을 프레임보다 크게 맞추어 주세요.(enter)프레임보다 작게 설정될 경우 사진이 화면에 맞게 표시되지 않을 수 있습니다	Please resize the picture to fill the screen	請修改圖片尺寸以適應屏幕大小。	请修改图片尺寸以适应屏幕大小。	写真を移動し、拡大して写真をフレームよりも大きく合わせください。\nフレームよりも小さく設定すると、写真が画面に合わせて表示されないことがあります      	Чтобы заполнил весь экран, пожалуйста, измените размер изображения в соответствии с кадром	S'il vous plaît redimensionner l'image pour s'adapter à l'image de sorte qu'elle remplisse l'écran	Por favor, cambiar el tamaño de la imagen para ajustarse al marco de modo que llene la pantalla 	
									
// Android Only 	// Android Only 	// Android Only 	// Android Only 	// Android Only 	// Android Only 	// Android Only 	// Android Only 	// Android Only 	
									
// General 	// General 	// General 	// General 	// General 	// General 	// General 	// General 	// General 	
    action_bar_up_button_main	메인	Main	主選單	主菜单	メイン	главный	principal	principal 	
    store_item_full_version	풀버전	Full Version	完整版	完整版	フルバージョン	Полная версия	Version complète	Versión Completa 	
									
// Alarm 	// Alarm 	// Alarm 	// Alarm 	// Alarm 	// Alarm 	// Alarm 	// Alarm 	// Alarm 	
    alarm_set_for_less_than_1_minute	알람이 1분 내에 울립니다	Alarm set for less than 1 minute	鬧鈴不超過1分鐘	闹铃短于1分钟	1分以内にアラームが鳴ります	Сигнализация установлена ​​менее чем за 1 минуту	Alarme programmée pour moins de 1 minute	Fijar alarma por menos de 1 minuto 	
    alarm_status_bar_icon	상태바에 알람 아이콘 표시	 Alarm icon on status bar 	顯示鬧鐘圖標	显示闹钟图标	アラームアイコンを表示	Показать Пиктограмма тревоги	Voir Icône d'alarme sur la barre d'état	Mostrar icono de alarma en la barra de estado 	
									
// Prefs 	// Prefs 	// Prefs 	// Prefs 	// Prefs 	// Prefs 	// Prefs 	// Prefs 	// Prefs 	
    alarm_pref_volume	볼륨	Volume	音量	音量	音量	громкость	volume	Volumen 	
									
// Panel 									
									
// Flickr 	// Flickr 	// Flickr 	// Flickr 	// Flickr 	// Flickr 	// Flickr 	// Flickr 	// Flickr 	
    saving	저장 중…	Saving…	儲存中…	保存中…	保存中…	Сохранение…	Sauvegarde en cours ...	Guardando ... 	
									
// World Clock 	// World Clock 	// World Clock 	// World Clock 	// World Clock 	// World Clock 	// World Clock 	// World Clock 	// World Clock 	
    no_search_result	검색결과 없음	No Results Found	查無搜尋結果	无搜索结果	検索結果なし	Поиск не дал результатов	Aucun résultat trouvé	No se encontraron resultados 	
									
// Calendar 	// Calendar 	// Calendar 	// Calendar 	// Calendar 	// Calendar 	// Calendar 	// Calendar 	// Calendar 	
    calendar_select_calendars	캘린더 선택	Select Calendars	選擇日曆	选择日历	カレンダー選択	Выберите Календари	Sélectionnez Calendriers	Seleccione Calendarios 	
									
// Photo Album 	// Photo Album 	// Photo Album 	// Photo Album 	// Photo Album 	// Photo Album 	// Photo Album 	// Photo Album 	// Photo Album 	
    photo_album	사진 앨범	Photo Frame	相框	相框	フォトフレーム	рамка для фотографий	Cadre photo	Marco de fotos 	
    photo_album_no_image	사용가능한 이미지 없음	No image available	無照片	无照片	使用できるイメージなし	Фотографий нету	Aucune image disponible	No hay imagen disponible 	
    photo_album_error_getting_photo	사진을 가져올 때 문제가 생겼습니다	Error occurred while getting photo from your smart device	獲取相片失敗	获取照片失败	写真を読み込む中に問題が生じました	Произошла ошибка при извлечении фото	Une erreur s'est produite lors de l'obtention photo	Error al obtener la foto 	
    photo_album_label_refresh_time	리프레시 시간	Refresh Time	刷新時間	刷新时间	リフレッシュ時間	время обновления	Actualiser Temps	Tiempo de Recarga 	
    photo_album_label_transition_type	전환 효과	Slideshow Type	切換方式	切换方式	アニメーションタイプ	Тип перехода	diaporama type	Presentación Tipo 	
    photo_album_minute_hint	분	min	分	分	分	мин	min	min 	
    photo_album_minute	분	min	分	分	分	мин	min	min 	
    photo_album_second_hint	초	sec	秒	秒	秒	сек	seconde	seg 	
    photo_album_second	초	sec	秒	秒	秒	сек	seconde	seg 	
    photo_album_transition_none	없음	None	無	无	なし	ни один	aucun	Ninguno 	
    photo_album_transition_alpha	페이드	Fade	淡入淡出	淡入淡出	フェード	исчезать	fondu	fundido 	
    photo_album_load	로드	Load	載入	载入	読み込む	Выберите	charge	carga 	
									
// Panel - News Feed	// Panel - News Feed	// Panel - News Feed	// Panel - News Feed	// Panel - News Feed	// Panel - News Feed	// Panel - News Feed	// Panel - News Feed	// Panel - News Feed	
news_feed	뉴스	News	新聞	新闻	ニュース	новости	nouvelles	Noticias 	
news_feed_invalid_url	유효하지 않은 RSS	Invalid RSS	無效RSS	无效RSS	有効でないRSS	Введите RSS	invalide RSS	Inválido RSS 	
news_feed_feed_unavailable	뉴스를 사용할 수 없습니다	News is not available now	暫無新聞	暂无新闻	ニュースが使用できません。	сброс	Nouvelles n'est pas disponible maintenant	Noticias no están disponibles ahora 	
news_feed_url_dialog_title	RSS 주소 입력	Enter RSS URL	輸入RSS地址	输入RSS地址	RSSアドレスを入力してください。	Неверный RSS	Entrez URL du flux RSS	Introduzca RSS URL 	
news_feed_url_dialog_reset	리셋	Reset	重設	重设	リセット	Новый недоступен сейчас	remettre	Restablecer 	
									
// Panel - Cat	// Panel - Cat	// Panel - Cat	// Panel - Cat	// Panel - Cat	// Panel - Cat	// Panel - Cat	// Panel - Cat	// Panel - Cat	
cat	고양이	Cat	貓	猫	猫	кот	chat	Gato  	
									
// Theme 	// Theme 	// Theme 	// Theme 	// Theme 	// Theme 	// Theme 	// Theme 	// Theme 	
    setting_theme_color_pastel_green	파스텔 그린	Pastel Green	淺綠	浅绿	パステルグリーン	Зеленый пастельный	Pastel vert	Pastel verde 	
    setting_theme_color_cool_navy	쿨 네이비	Cool Navy	海藍	海蓝	クールネイビー	Прохладный темно-синий	Rafraîchir Marine	Enfriar la Marina 	
    setting_theme_color_mint_pink	민트 핑크	Mint Pink	粉紅	粉红	ミント・ピンク	Монетный двор Розовый	Monnaie Rose	Mint Rosa 	
									
// Recommend 	// Recommend 	// Recommend 	// Recommend 	// Recommend 	// Recommend 	// Recommend 	// Recommend 	// Recommend 	
    recommend_to_friends	친구에게 추천하기	Recommend Morning Kit to your friends	向朋友推薦早安工具	向朋友推荐早安工具	友達にこのアプリを薦める	Рекомендовать Утренний Kомплект друзьям	Recommander Kit Matin à vos amis	Recomendar mañana Kit a tus amigos 	
    recommend_title	강력 추천!!	Check out this new app = Morning Kit, it's awesome!	強烈推薦！	强烈推荐！	強くおススメめ！	Настоятельно рекомендуем!	Recommande fortement!	Lo recomiendo encarecidamente! 	
    recommend_description	당황하지 않고 클릭해서 다운받으면~ 끝!	Click the link and take it for a spin	點擊下載 :-)	点击下载 :-)	簡単にワンクリックでダウンロード！	Просто нажмите кнопку и скачать :-)	Il suffit de cliquer et télécharger: -)	Basta con hacer clic y descargar: -) 	
    recommend_app_full_name	모닝키트	Morning Kit	早安工具	早安工具	モーニングキット	Утренний Kомплект	Kit Matin	Kit Mañana	
									
// Location	// Location	// Location	// Location	// Location	// Location	// Location	// Location	// Location	
dialog_location_service_disabled_title	위치 서비스 비활성화됨	Location services disabled	關閉定位服務	关闭定位服务	位置情報サービスを無効化されています。	Адрес услуги отключены		Ubicación Servicios desactivados	번역이 없어서 구글 번역 돌림, 퀄리티는 괜찮은듯
dialog_location_service_disabled_title	확인을 눌러 위치서비스를 활성화하세요	Click OK to enable location services	確認以開啟定位服務	点击确定开启定位服务	確認をクリックして位置情報サービスを活性化します。	Нажмите OK, чтобы включить службы определения местонахождения		Por favor, haga clic en Aceptar para activar los servicios de ubicación	번역이 없어서 구글 번역 돌림, 퀄리티는 괜찮은듯